corpus,meta,frame,frame_label,n_present,n_applicable,pct,alpha,tier
climate,Combustion Fuels & Natural Resources,scientific,Scientific,25,47,53.1915,0.751,clears
climate,Combustion Fuels & Natural Resources,crisis,Crisis,25,47,53.1915,0.516,unresolved
climate,Combustion Fuels & Natural Resources,solutions,Solutions,43,47,91.4894,0.371,unresolved
climate,Combustion Fuels & Natural Resources,victim,Victim,6,47,12.766,0.762,clears
climate,Combustion Fuels & Natural Resources,skepticism,Skepticism,11,47,23.4043,0.554,structural
climate,Combustion Fuels & Natural Resources,securitization,Securitization,19,47,40.4255,0.382,structural
climate,Combustion Fuels & Natural Resources,othering,Othering,3,47,6.383,0.335,structural
climate,Combustion Fuels & Natural Resources,agency,Agency,47,47,100.0,-0.03,structural
climate,"Arts, Culture, Media & Sports",conflict,Conflict,20,42,47.619,0.504,structural
climate,"Arts, Culture, Media & Sports",human_interest,Human Interest,31,42,73.8095,0.665,clears
climate,"Arts, Culture, Media & Sports",economic,Economic,13,42,30.9524,0.719,clears
climate,"Arts, Culture, Media & Sports",deservingness,Deservingness,2,42,4.7619,0.687,clears
climate,"Arts, Culture, Media & Sports",responsibility,Responsibility,29,42,69.0476,0.318,structural
climate,"Arts, Culture, Media & Sports",scientific,Scientific,15,42,35.7143,0.751,clears
climate,"Arts, Culture, Media & Sports",crisis,Crisis,31,42,73.8095,0.516,unresolved
climate,"Arts, Culture, Media & Sports",solutions,Solutions,26,42,61.9048,0.371,unresolved
climate,"Arts, Culture, Media & Sports",victim,Victim,13,42,30.9524,0.762,clears
climate,"Arts, Culture, Media & Sports",skepticism,Skepticism,7,42,16.6667,0.554,structural
climate,"Arts, Culture, Media & Sports",securitization,Securitization,20,42,47.619,0.382,structural
climate,"Arts, Culture, Media & Sports",othering,Othering,2,42,4.7619,0.335,structural
climate,"Arts, Culture, Media & Sports",agency,Agency,38,42,90.4762,-0.03,structural
climate,Agriculture,conflict,Conflict,22,39,56.4103,0.504,structural
climate,Agriculture,human_interest,Human Interest,18,39,46.1538,0.665,clears
climate,Agriculture,economic,Economic,27,39,69.2308,0.719,clears
climate,Agriculture,deservingness,Deservingness,12,39,30.7692,0.687,clears
climate,Agriculture,responsibility,Responsibility,33,39,84.6154,0.318,structural
climate,Agriculture,scientific,Scientific,19,39,48.7179,0.751,clears
climate,Agriculture,crisis,Crisis,23,39,58.9744,0.516,unresolved
climate,Agriculture,solutions,Solutions,31,39,79.4872,0.371,unresolved
climate,Agriculture,victim,Victim,18,39,46.1538,0.762,clears
climate,Agriculture,skepticism,Skepticism,6,39,15.3846,0.554,structural
climate,Agriculture,securitization,Securitization,20,39,51.2821,0.382,structural
climate,Agriculture,othering,Othering,10,39,25.641,0.335,structural
climate,Agriculture,agency,Agency,39,39,100.0,-0.03,structural
climate,Global Politics & Politics Abroad,conflict,Conflict,29,35,82.8571,0.504,structural
climate,Global Politics & Politics Abroad,human_interest,Human Interest,8,35,22.8571,0.665,clears
climate,Global Politics & Politics Abroad,economic,Economic,19,35,54.2857,0.719,clears
climate,Global Politics & Politics Abroad,deservingness,Deservingness,1,35,2.8571,0.687,clears
climate,Global Politics & Politics Abroad,responsibility,Responsibility,32,35,91.4286,0.318,structural
climate,Global Politics & Politics Abroad,scientific,Scientific,13,35,37.1429,0.751,clears
climate,Global Politics & Politics Abroad,crisis,Crisis,23,35,65.7143,0.516,unresolved
climate,Global Politics & Politics Abroad,solutions,Solutions,29,35,82.8571,0.371,unresolved
climate,Global Politics & Politics Abroad,victim,Victim,10,35,28.5714,0.762,clears
climate,Global Politics & Politics Abroad,skepticism,Skepticism,10,35,28.5714,0.554,structural
climate,Global Politics & Politics Abroad,securitization,Securitization,19,35,54.2857,0.382,structural
climate,Global Politics & Politics Abroad,othering,Othering,3,35,8.5714,0.335,structural
climate,Global Politics & Politics Abroad,agency,Agency,34,35,97.1429,-0.03,structural
climate,Public Climate Discourse,conflict,Conflict,18,27,66.6667,0.504,structural
climate,Public Climate Discourse,human_interest,Human Interest,11,27,40.7407,0.665,clears
climate,Public Climate Discourse,economic,Economic,11,27,40.7407,0.719,clears
climate,Public Climate Discourse,deservingness,Deservingness,3,27,11.1111,0.687,clears
climate,Public Climate Discourse,responsibility,Responsibility,19,27,70.3704,0.318,structural
climate,Public Climate Discourse,scientific,Scientific,13,27,48.1481,0.751,clears
climate,Public Climate Discourse,crisis,Crisis,20,27,74.0741,0.516,unresolved
climate,Public Climate Discourse,solutions,Solutions,20,27,74.0741,0.371,unresolved
climate,Public Climate Discourse,victim,Victim,7,27,25.9259,0.762,clears
climate,Public Climate Discourse,skepticism,Skepticism,4,27,14.8148,0.554,structural
climate,Public Climate Discourse,securitization,Securitization,19,27,70.3704,0.382,structural
climate,Public Climate Discourse,othering,Othering,5,27,18.5185,0.335,structural
climate,Public Climate Discourse,agency,Agency,26,27,96.2963,-0.03,structural
climate,Housing & Urban Planning,conflict,Conflict,9,26,34.6154,0.504,structural
climate,Housing & Urban Planning,human_interest,Human Interest,11,26,42.3077,0.665,clears
climate,Housing & Urban Planning,economic,Economic,16,26,61.5385,0.719,clears
climate,Housing & Urban Planning,deservingness,Deservingness,0,26,0.0,0.687,clears
climate,Housing & Urban Planning,responsibility,Responsibility,22,26,84.6154,0.318,structural
climate,Housing & Urban Planning,scientific,Scientific,17,26,65.3846,0.751,clears
climate,Housing & Urban Planning,crisis,Crisis,9,26,34.6154,0.516,unresolved
climate,Housing & Urban Planning,solutions,Solutions,22,26,84.6154,0.371,unresolved
climate,Housing & Urban Planning,victim,Victim,5,26,19.2308,0.762,clears
climate,Housing & Urban Planning,skepticism,Skepticism,3,26,11.5385,0.554,structural
climate,Housing & Urban Planning,securitization,Securitization,5,26,19.2308,0.382,structural
climate,Housing & Urban Planning,othering,Othering,3,26,11.5385,0.335,structural
climate,Housing & Urban Planning,agency,Agency,25,26,96.1538,-0.03,structural
climate,Corona,conflict,Conflict,10,12,83.3333,0.504,structural
climate,Corona,human_interest,Human Interest,5,12,41.6667,0.665,clears
climate,Corona,economic,Economic,8,12,66.6667,0.719,clears
climate,Corona,deservingness,Deservingness,2,12,16.6667,0.687,clears
climate,Corona,responsibility,Responsibility,11,12,91.6667,0.318,structural
climate,Corona,scientific,Scientific,6,12,50.0,0.751,clears
climate,Corona,crisis,Crisis,10,12,83.3333,0.516,unresolved
climate,Corona,solutions,Solutions,10,12,83.3333,0.371,unresolved
climate,Corona,victim,Victim,2,12,16.6667,0.762,clears
climate,Corona,skepticism,Skepticism,1,12,8.3333,0.554,structural
climate,Corona,securitization,Securitization,8,12,66.6667,0.382,structural
climate,Corona,othering,Othering,2,12,16.6667,0.335,structural
climate,Corona,agency,Agency,12,12,100.0,-0.03,structural
climate,Social Life,conflict,Conflict,6,8,75.0,0.504,structural
climate,Social Life,human_interest,Human Interest,5,8,62.5,0.665,clears
climate,Social Life,economic,Economic,3,8,37.5,0.719,clears
climate,Social Life,deservingness,Deservingness,1,8,12.5,0.687,clears
climate,Social Life,responsibility,Responsibility,7,8,87.5,0.318,structural
climate,Social Life,scientific,Scientific,4,8,50.0,0.751,clears
climate,Social Life,crisis,Crisis,5,8,62.5,0.516,unresolved
climate,Social Life,solutions,Solutions,7,8,87.5,0.371,unresolved
climate,Social Life,victim,Victim,2,8,25.0,0.762,clears
climate,Social Life,skepticism,Skepticism,2,8,25.0,0.554,structural
climate,Social Life,securitization,Securitization,3,8,37.5,0.382,structural
climate,Social Life,othering,Othering,1,8,12.5,0.335,structural
climate,Social Life,agency,Agency,8,8,100.0,-0.03,structural
